,Level,Type_of_Job,Description
61,Entry level,Full-time,"Requirements 2 years of experience in quantitative analysis or data science Strong problem-solving skills, with experience breaking down a large problem into smaller, solvable components Strong skills in SAS SQL. Strong skills in data exploration, analysis, and visualization with Python or R. Strong understanding of methods in statistical analysis (e.g., supervised machine learning methods, hypothesis testing, etc.) Experience with BI and data visualization tools like R, Shiny. Ability to initiate and drive projects to completion Experience with Decision Support Models. Excellent written and verbal communication skills with the ability to communicate the results of your work in meaningful ways Strong collaboration skills with both technical and non-technical groups"
62,Entry level,Full-time,"Requirements 2 years of experience in quantitative analysis or data science Strong problem-solving skills, with experience breaking down a large problem into smaller, solvable components Strong skills in SAS SQL. Strong skills in data exploration, analysis, and visualization with Python or R. Strong understanding of methods in statistical analysis (e.g., supervised machine learning methods, hypothesis testing, etc.) Experience with BI and data visualization tools like R, Shiny. Ability to initiate and drive projects to completion Experience with Decision Support Models. Excellent written and verbal communication skills with the ability to communicate the results of your work in meaningful ways Strong collaboration skills with both technical and non-technical groups"
63,Associate,Full-time,"Job DescriptionWe are expanding its technology and quant team to build disruptive new products to further revolutionize trading and investing. Our products are used by the largest investment firms globally, and we are recognised as an industry-leading innovator in big data analytics, AI and machine learning.We are a dynamic, technology-driven, and highly productive team of quants, developers and product designers. Deep collaboration with our clients and partners is key, and we benefit from great relationships with the most ground-breaking firms in the asset management industry, who help us to constantly push the limits of technology and analytics.We have a track record of hiring amazing people and giving them (industry veterans and recent grads alike) autonomy and responsibility from the start. You'll have the best tools and resources available to get the job done, and thrive in a collaborative environment where our teams are passionate about building great things.The right candidates will have both a strong mathematical background, and be highly adept technologically.Responsibilities Analyse unique proprietary data sets. Create, evaluate, and enhance mathematical models and streaming analytics pipelines. Write production code. Partner globally with other data scientists, quants, developers, product designers, clients and industry leaders to tackle the important problems faced by the world's largest asset managers.  SKILLS Bachelor's degree in Computer Science, Mathematics or related technical focus. 2&plus; years of relevant experience OR recent Master's or PhD grad in Computer Science, Mathematics or related field. Proficiency in a mainstream programming language, such as Python, C/C&plus;&plus;, C#, Java, JavaScript, Haskell or similar. A strong foundation in a STEM/numeric discipline. Familiarity with software development practices such as version control (git), test frameworks, code review tools, deployment configuration management, continuous integration. Experience with machine learning libraries/frameworks and methods Excellent communication skills and team orientation"
64,Internship,Internship,"Job DescriptionIn this role, you will be working in an interdisciplinary environment and will obtain invaluable transferable skills. Moreover, you will have a chance to highly impact the company success. Being aware of various sources of biases in the data and critical thinking skills are essential for interpreting data. We also want to see a passion for machine-learning and research. At least 6 month commitment is preferred.Responsibilities Automate data collection processes Undertake preprocessing of structured and unstructured data Report potential biases in the original source and the preprocessing approach Present information using data visualization techniques Collaborate with machine learning, experimental discovery, and clinical development teams."
65,Entry level,Full-time,"Machine learning data science Work Location Reporting Address Sunnyvale, CA 94085 Client Name Apple Inc Vendor Rate 65.00 Contract duration 3 Months Must Have Skills Data Science Machine learning Python Detailed Job Description Data Scientist with Machine learning and Deep learning skills. Experience in Python and R language. Minimum years of experience 5+ Certifications Needed No Top 3 responsibilities you would expect the Subcon to shoulder and execute Data Analysis Machine learning tools dev Client interfacing"
66,Associate,Full-time,"Job DescriptionØptimus Consulting, a data science and software company, is seeking a data science fellow in the Washington, DC area. Fellows with the Data Science & Predictive Analytics team will participate in all aspects of work at Øptimus. In an environment where ""long-term"" projects last one or two weeks, no two days are the same. You'll work on multiple projects: writing call scripts that are used in hundreds of thousands of calls, streamlining our current workflow, sitting in on meetings to offer your valuable insight, and creating statistical models to meet the needs of our clients, just to name a few. We'll match what you're good at with what you enjoy and what we need.Fellowships are intended for recent college graduates or those with graduate degrees looking to transition into data science. The fellowship is a twelve-month full-time position with an opportunity for a permanent job offer upon completion.Qualifications Must have a college degree in a STEM or social science field, or equivalent real-world experience. At least one course in statistics is required. Having courses or experience in machine learning, data mining, regression, generalized linear models, experimental design, and/or GIS is especially desired. A Masters or Doctorate Degree is a plus but not necessary. Must be able to learn quickly and juggle multiple projects with moving deadlines. Must have strong analytical skills. Must have killer Excel skills and be incredibly competent in Word and PowerPoint. Must have experience in R or Python. Experience with Tableau is a plus. A passion or knowledge for politics is preferred but not necessary. Experience with political campaigns, commercial operations, or similar efforts can be very helpful. Experience with computer programming is a plus. CompensationFellows with Øptimus are salaried W2 employees and have benefits, including health insurance, dental and vision insurance, transportation reimbursement, and cell phone reimbursement.CompanyØptimus Consulting is a family of statisticians, graphic designers, data scientists, programmers, social media marketing analysts, and recovering politicos. Since its founding in 2013, 0ptimus has been at the forefront of developing innovative data and analytics software platforms. 0ptimus has designed and delivered data-driven strategies for leading political campaigns, Fortune 500 companies, and non-profits around the globe.We handle a wide variety of projects and use many different technologies and programs to meet our clients' needs, so our culture here is one of constant learning and curiosity, while doing things the right way. We boast a two-floor office near the yellow and blue Metro lines, no cubicles, a nacho cheese machine, and kegerator. If you live by the ""work hard, play hard"" philosophy, then you'll be a great fit with the Øptimus team.vumS6HpHpp"
67,Mid-Senior level,Full-time,"Why VacasaWe started with just one home and an idea: to bring homeowners and renters together with smart technology and caring local teams. Today, we’re the largest full-service vacation rental company in the US. Today, we’re one of the fastest-growing vacation rental companies in the world—thanks to the people who give us their best every day. You’ll fit right in here if you’re curious, entrepreneurial, and thrive in a rapid-growth environment.What We’re Looking ForWe are seeking a leader who is passionate about building a world class Data Science team in order to achieve Vacasa’s goal of providing a fantastic home base for any vacation. In addition to solving problems and removing roadblocks for your team, you’ll help define the vision, tools, and processes that help us take on challenges like: Determining the potential rental value of any vacation rental home, and how to increase that potential Pricing each of our unique units in real time given global market conditions to ensure we have homes available for potential guests while maximizing owner revenue Optimally scheduling home cleaning while giving our employees scheduling certainty Matching each guest’s expectations with a tailored experience  What You’ll Do Manage and guide the careers of our growing Data Science team Represent their work to the executive team and the rest of the organization Guide the team’s research, discovery, and implementation Stay curious about the field of Data Science, operate with empathy towards others, drive innovation, and remain accountable to yourself & team Keep your tech skills (Python, R, Stata, Big Data, etc.) sharp by contributing to our code Skills You’ll Need Experience managing folks working on data science projects Inquisitivity about statistics, systems engineering, algorithms, economics, operations research and related fields Advanced proficiency with Git/GitHub, Python, SQL, cloud computing, and machine learning Bonus Points Stellar listening and communication skills A Master’s or PhD with coursework focused on building data models You have intriguing stories to tell about your work applying the right statistical techniques to the right circumstances, have lead folks in applying those techniques for a multitude of situations, and the prospect of more work in this arena genuinely excites you What You’ll Get Health/dental/vision insurance—100% coverage option 401K retirement savings plan with up to a 6% company match Vacation time Paid sick leave and holidays Career advancement opportunities Employee discounts All the equipment you’ll need to be successful Great colleagues and culture"
68,Mid-Senior level,Full-time,"Shipt is a membership-based marketplace that helps people get the things they need. Our friendly shoppers handpick fresh groceries and household essentials and deliver them to members in as soon as one hour.What Does Data Science Do at Shipt?At Shipt, we work at the intersection of a multi-sided marketplace and we’re looking for help understanding data collected across this complex marketplace, optimizing existing processes, and making predictions to help improve the product and experience.Our team tackles a wide variety of projects, ranging from developing sophisticated predictive and machine learning models, conducting ad-hoc research, working with engineers on service development and deployments, and presenting results to functional teams. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator.Your Days Will Look Like… leading and developing a highly skilled team of data scientists and analysts … providing technical guidance and implementation details for the team as they work through projects big and small… collaborating with partners across product, engineering, and operations to accomplish business goals… leading and prioritizing exploratory work to uncover new opportunities… working with leaders to build data-informed strategies and roadmapsYou may be a fit for this role if you:… are a strong data scientist with 4+ years of experience… have 1+ years managing data scientists or 1+ years as a Tech Lead… have expertise solving complex and highly impactful quantitative problems with at least one scripting language (Python or R - we use both) and SQL… enjoy mentoring data scientists through their projects and careers… don’t mind getting hands on with challenging technical problems across a broad spectrum of data science problems, encompassing NLP, search, operations research, and semi-supervised learning problemsYou'll Get Bonus Points For... experience with batch and streaming data frameworks... work around on-demand or multi-sided marketplace problemsHere are some projects that the team is actively working on:Improving search rankings and relevancy through engagement metrics, inferred popularity, named entity recognition, and a number of other techniquesImproved order offering and the logistical component of deliveries through order batchingNLP on free text to pull out specific product information and product matchesWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
69,Entry level,Full-time,"Qualifications Minimum of MS, Phd Strongly Preffered, in Statistics, or related quantitive discipline Minimum 5 years of experience with phd and 8 Years of experience with MS in relevant areas of Data Science and proven capability in applying Accomplished academic background in health data applications hard evidence of extensive biomedical collaborations and publication record preferred Strong analytical and problem-solving Skills Strong technical Skills Experience in R, python, SQL, Spark, Cloud Services (Azure, AWS) Excellent writing, Communication and Presentation Skills, proficiency in data interpretation, delivering messages with impact to internal and external customers. Intellectual curiosity and agility Ability to work independently as well as collaboratively within a team setting"
70,Entry level,Full-time,"As Ribbon's Data Science Lead, you'll create best practices and grow the data culture. You'll work closely with the leaders across every department to create more teams which are run by data driven insights. You'll have the opportunity to grow and manage the DS function and team.Your Focus Becoming a subject matter expert in sales operations, structured finance and real estate operations. Understand the systems, understand the users, and drive towards identifying core opportunities for the business. Work directly with directors of finance, marketing and sales to create more data driven functions across the business. Prepare technical reports, reviews and analysis of current processes. Participate in backlog grooming, sprint planning, and retrospectives. Responsible for translating high-level business requirements into detailed functional specifications and managing the requests for changes. Establish data driven practices for understanding high level business metrics like CAC and LTV.Your Skills Strong organizational skills, including the ability to successfully manage multiple priorities and projects and consistently meet deadlines in a fast-paced environment. Experience with cloud platforms, ideally AWS. Familiarity with SQL and noSQL datastores like Redshift, Postgres, Elasticsearch and MongoDB. Experience with SQL or other data visualization tools (like R or Python). You have a track record building or scaling data driven organizations."
71,Not Applicable,Full-time,"Minimum Qualifications Bachelor's degree in a quantitative discipline or equivalent practical experience. 4 years of relevant work experience involving quantitative data analysis Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL). Preferred Qualifications Master's degree or higher in a quantitative discipline (e.g., Statistics, Computer Science, Math, Engineering) or equivalent practical experience Strong knowledge and hands-on experience with both supervised and unsupervised learning (e.g. time series forecasting, clustering, classificaiton) and/or Big Data techniques (Spark, Pig, Hive) is a big plus. Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Effective communication (written and verbal) to translate technical solutions and methodologies to senior leadership About The JobAt Google, data drives all of our decision making. The Finance Business Intelligence and Analytics team combines business acumen, technology and innovation to organize data, enable insights and create a data driven and efficient Finance organization. You will have a unique opportunity to gain perspectives on Google’s core businesses, services and the ecosystems that they operate within.As a Data Science Specialist, you will work on strategic business challenges across multiple business areas (ex. Ads, YouTube, Search, Play, etc.) through the lens of monetization. You will collaborate with data engineers, analysts and PMs to create an end-to-end data solutions to enable our finance partners to make informed decisions, manage risks and opportunities. You will demonstrate statistical and machine learning experience and an understanding of our business models to tackle complex data problems.The name Google came from ""googol,"" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.Responsibilities Partner with Finance leadership and their teams to understand business context and identify science solutions. Apply statistical and machine learning methods to solve large scale problems, including the full modeling lifecycle (e.g. data manipulation, building and evaluating models, interpreting results, transitioning solutions to production, performance monitoring, recalibrating models, etc.) Create data visualization to summarize the modeling insights and communicate them to internal team members and business stakeholders Continue to widen and deepen data science and engineering skill sets Coach junior members and share knowledge with the broader team At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
72,Mid-Senior level,Full-time,"H-E-B’s Corporate Planning and Analysis Team develops and maintains budgets and financial systems while providing current, reliable financial data, analysis, and technical information. As Data Science Manager, you will lead the Data Science Team, and participate in all related projects.Once you’re eligible, you’ll become an Owner in the company, so we’re looking for commitment, hard work, and focus on quality and Customer service. “Partner-owned” means our most important resources—People—drive the innovation, growth, and success that makes H-E-B The Greatest Retailing Company.Do You Have aHEART FOR PEOPLE… willingness to mentor and develop others?HEAD FOR BUSINESS… skills to blend mass data-wrangling with business acumen?PASSION FOR RESULTS… ability to generate business-valued questions and data-driven solutions?We Are Looking For 10 years of experience in a retail-related data / decision science role deep knowledge of data science techniquesWhat is the work?Management / Mentoring Manages the Data Science team Participates in all Data Science projects, providing leadership and employing predictive analytics, machine learning, data modeling, etc. Leads and oversees the exploration, development, and delivery of data science solutions to meet business needs Mentors and develops team membersWhat is your background? Graduate degree in statistics, mathematics, engineering, computer science, or a related quantitative field 10+ years of professional experience in a data / decision science role, preferably in retail or other consumer-facing industries Experience / proficiency in statistical programming languages, such as R, SAS, SPSS, etc. Experience / proficiency in one or more of the following scripting languages: Python, Perl, Java, or Ruby Experience / proficiency in relational databases, such as Teradata or Oracle (Teradata preferred), and SQLDo you have what it takes to be a Data Scientist Manager at H-E-B? Deep knowledge of typical data science techniques, such as classification, regression, and optimization Familiarity with machine learning packages like KNIME or RapidMiner Familiarity with Hadoop, distributed file systems, Big Data ecosystems, and BI tools, such as MicroStrategy Advanced presentation, influencing, and solution-selling skills Strong project leadership, time management, and organization skills Personal leadership skills Ability to work comfortably with imperfect / incomplete data and create solutions / best practices to address data issuesAbility to work comfortably in a fast-paced retail environment with frequently shifting priorities Ability to independently build scalable solutions to answer Ability to communicate analytical findings to a variety of audiences, including senior management, and refine such findings into actionable recommendations Initiative; willingness to take risksCan you… Function in a fast-paced, retail, office environment Travel by car or airplane with overnight stays Sit for an extended period of time Work extended hoursDATANL3232 DATASCI3232About H-E-BH-E-B is one of the largest, independently owned food retailers in the nation operating over 400 stores throughout Texas and Mexico, with annual sales generating over $25 billion.Primary LocationUS-TX-San AntonioWork LocationsHeadquarters-ArsenalJobData ScienceOrganizationCorporate RegionShiftStandardJob TypeFull-timeJob PostingAug 15, 2019, 9:52:12 AM"
73,Internship,Internship,"Job DescriptionØptimus Consulting, a data science and software company, is seeking a data science intern in their Washington D.C. area office for the summer term. Interns with the Data Science & Predictive Analytics team will participate in all aspects of work at Øptimus. In an environment where a ""long-term"" project lasts one or two weeks, no two days are the same. You won't be getting coffee. You'll sit in on meetings and work on multiple projects: writing call scripts that are used in hundreds of thousands of calls, streamlining our current workflow, and creating statistical models to meet the needs of our clients, just to name a few. You'll be doing the work that a full-time employee does. We'll match what you're good at with what you enjoy and what we need.Our internships are mostly geared towards those still in school, whether undergraduate or graduate. This job posting is for the fall 2019 period, with flexible starting dates between August or September. We don't guarantee full-time employment after an internship, but we're a growing firm and are always looking for bright, hard-working talent. If you're looking for a full-time job, this is a good first step and puts you ahead of the competition!Qualifications Must be able to learn quickly and juggle multiple projects with moving deadlines. Must have strong analytical skills. Must have at least one course in statistics or equivalent real-world experience. Having courses or experience in machine learning, data mining, regression, generalized linear models, experimental design, and/or GIS is especially desired! Must have killer Excel skills and be incredibly competent in Word, PowerPoint, etc. Must have experience in R or Python - both is a plus! A passion for politics is preferred but not necessary. Experience with computer programming is a plus. Experience with statistical modeling is a plus.CompensationInternships with Øptimus are paid commensurate with professional and academic experience.CompanyØptimus Consulting is a family of statisticians, graphic designers, data scientists, programmers, social media marketing analysts, and recovering politicos. Since its founding in 2013, 0ptimus has been at the forefront of developing innovative data and analytics software platforms. 0ptimus has designed and delivered data-driven strategies for leading political campaigns, Fortune 500 companies, and non-profits around the globe.We handle a wide variety of projects and use many different technologies and programs to meet our clients' needs, so our culture here is one of constant learning and curiosity, while doing things the right way. We boast a two-floor office near the yellow and blue Metro lines, no cubicles, a nacho cheese machine, and kegerator. If you live by the ""work hard, play hard"" philosophy, then you'll be a great fit with the Øptimus team.SDL2019-256"
74,Mid-Senior level,Full-time,"OverviewIntuit is seeking a Data Science Leader to join the Intuit AI Engineering Group in Mountain View, CA.Responsibilities Lead and create a team of data scientists  Mentor and hire the best data scientists in the valley  Applies artificial intelligence and machine learning techniques to solve complex questions or fuel new business opportunities  Delivers breakthrough benefits to Intuit users/customers across small business & consumer products using individual, enriched, and aggregated data  Provides leadership in advanced engineering, data science and analytics in the development of current or future products or technologies  Provides technical leadership across multiple teams, by understanding a key technology space deeply enough to help guide strategy  Provide/inspire data science innovations that fuel the growth of Intuit as a whole  Understands and teaches proven methods and hacking skills in working with divergent data types at scale, to explore and extrapolate data-driven insights using advanced, predictive statistical modelling and testing applied to data acquired and cleansed from a range of sources  Provides to business stakeholders the entrepreneurial guidance essential for appropriately interpreting and building on findings, and fully exploiting the insights revealed through the research You thrive on ambiguity and enjoy the frequent pivoting that's part of the exploration. You are extremely passionate about applying practically Machine Learning to real customer problems, powering the next generation experiences for large scale applications.Qualifications BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Econometrics, Operations Research, Physics, etc.)  3 plus years' experience as an established technical leader of data science teams that have successfully delivered data-driven software products.  Innovative and disruptive technology leader solving long term strategic outcomes.  Expert command of AI and machine learning, statistical modelling, state-of-the-art tools, and engineering best practices  Experience in leading teams who have expertise in data mining algorithms and statistical modelling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, genetic algorithms, anomaly detection, recommender systems, and natural language processing.  Impeccable attention to detail and strong ability to convert complex data into insights and action plans  Strategic thinker, flexible problem solver, great listener and team orientation  Able to effectively communicate a vision and inspire others to innovate PandoLogic. Keywords: Data Science Manager, Location: Mountain View, CA - 94035"
75,Internship,Full-time,"MissionSaturn Cloud helps companies perform data science at a new level of scale, with one-click solutions, to solve the world’s hardest problems. Our product is a SaaS platform which equips data science teams with high-leverage automation tools, eliminating hours of traditional, manual work. The platform is user-friendly, scalable and secure.You will be a Data Scientist (internship position) for Saturn Cloud, an exciting new venture founded by the creators of Anaconda, NumPy, and SciPy. The role is features participating in all product activities from inception to delivery, including engaging in discussion with Fortune 1000 customers to understand their needs, working with engineering to build insights, and coordinating with various internal stakeholders to ensure success.ResponsibilitiesWork on high-visibility projects (e.g. price optimization, content marketing, and demand forecasting)Participate in customer engagement, product definition, success metrics, prioritize features, to deliver a polished market-ready productConduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, and effectively communicate findings and provide key insights/recommendations to various functional leadsOwn cross-functional interactions for your features (across eng/marketing/field/sales)RequirementsDegree or currently pursuing degree in a quantitative discipline (e.g. Operations Research, Statistics, Economics)Proficient knowledge of R or Python, SQLComfortable with quantitative analysis, statistical techniques, data miningGood communicator (written & visual presentation)Strong interpersonal skills and ability to influence othersGreat team playerBenefitsCompetitive salary commensurate with your growing experienceOpportunity for stock options in early-stage venture poised for scaleMedical, dental, vision coverageAwesome coworkersAbout UsOur mission is to transform the businesses of our customers by making data science faster. Founded by the creators of Anaconda, NumPy and SciPy, Saturn provides a powerful data science platform for teams to build and manage data products. Our clients boast accelerated value creation cycles with Saturn by automating key elements of their analytics workflows and reaching new levels of productivity. We make data scientists happier and their businesses more successful. For more information, visit www.saturncloud.io"
76,Mid-Senior level,Full-time,"Entytle’s cloud-based software creates highly qualified opportunities for the aftermarket business, driving top-line growth, improved sales cycle time and predictable revenue. With Entytle, aftermarket sales teams have actionable and timely insights into customers’ needs and can close more sales in less time.How? Our Aftermarket Engagement Platform aggregates and enriches customer data, analyzes customer history and behavior using sophisticated machine learning and statistical analysis, and surfaces actionable customer insights to drive aftermarket revenue growth.Entytle is a 2016 Red Herring - North America Top 100 Company. The company has funding from Accel Partners, is based in Austin, TX and is hiring awesome, entrepreneurial employees to join the rapidly growing team.MissionLead the data science team in delivering innovative but pragmatic solutions to help our customers drive aftermarket salesOutcomesWork collaboratively with Entytle stakeholders to identify key questions that need to be addressed and then leverage the data science team to deliver required capabilitiesDesign, architect and deliver a well-structured data science platform for research and execution of data and analytics projectsCreate and maintain an efficient and effective Data Science TeamPosition DescriptionThe position reports to the VP of Analytics. You will lead the vision, design and development of Entytle’s data science solutions. You will work with other data scientists, engineers and product managers leading the development of innovative data science models (e.g. AI, ML) in support of our installed base sales automation application. Your communication skills will allow you to work closely with our manufacturing-based customers. You will use your agile experience to work with our geographically dispersed teams.ResponsibilitiesMeet with external customers and experts to understand business challenges and propose new modeling and algorithmic solutions that leverage the latest in statistical and machine learning techniques.Study data sources and find insights/correlation to investigate how data science can be used to solve existing and new business challenges.Apply statistical analysis and modeling techniques on small and large datasets to solve specific business problems in the installed base sales automation domain.Provide strategic leadership in selection of platform, tools, techniques and processes in the practice of Data Science discipline.Work collaboratively with your data science team, engineers, developers and product management to translate business requirements into technical requirements that can be addressed with statistical and machine learning techniques.Provide mentorship to other Data Scientists on your team.Own and drive contemporary best practices in applying and deploying data science at scale.CompetenciesStrong sense of and an ability to cultivate an environment of teamwork, and a willingness to help others.Ability to effectively communicate technical concepts to both technical and non-technical staff members and customers.Proficiency in data analysis and programming languages such as SQL, Python, and R.4-8 years hands-on experience in machine learning, statistics or experiment design.Master’s Degree required (PhD would be a plus) in Statistics, Mathematics, Econometrics, Operations Research, Computer Science, Physics or a related field with focus on data analysis.Expertise in machine learning, statistics, data analysis. Must have an excellent knowledge of advanced methods, and experience in applying those methods to a variety of problems.Solid grasp of probability, statistical or mathematical modeling with analytical and quantitative problem-solving ability. Experience with time-series analysis would be a plus.Demonstrated experience in applying machine learning to real-world problemsMust have delivered data science components as part of a commercial solution at scale.Familiarity with software development cycles, source control systems (including Git), databases, and cloud computing platforms such as AWS.Knowledge of large equipment manufacturing, installed base sales, recurring revenue, and equipment service would be a plus."
77,Internship,Internship,"Organization Description AutoGrid?s mission is to organize the exponentially increasing amount of energy data produced from a networked and automated grid and make it useful and actionable for electricity generators and providers, grid operators, and electricity users. With deployments of smart meters, distributed generation, and other building and grid sensing technologies now reaching critical mass, all participants in the electricity supply chain find themselves having to process and analyze thousands of times more data than they?ve had before. Most organizations that produce or consume electricity have yet to take advantage of this information to improve their decision-making processes and lower their costs. AutoGrid enables Utilities, Electricity Service Providers, Grid Operators, DR Aggregators, and End-Users to precisely forecast, monitor and control power consumption securely and in real-time, maximizing the value of existing assets with Software Defined Power Plants. Job Description AutoGrid is seeking Data Science Interns for Summer 2018. We are a rapidly growing company with significant market traction and a large pipeline of diverse opportunities. As such the role will be dynamic and varied, requiring a versatile self-starter willing to dive in to multiple initiatives. Over 10 weeks the intern can expect to become deeply involved in implementing user features and analytics models that will run in production. Our goal is to give the intern exposure to a range of data science techniques and current big data technologies, through the experience of applying them to the energy industry. This role will provide an excellent opportunity to implement features that run in production, at scale. Qualifications Experience in one or more of the following: PythonStream processing frameworksSQLBig Data analyticsAlgorithms in machine learning and econometrics: eg. random forest, SVR, ARIMAExperience in energy and electric utilities is a plus"
78,Internship,Full-time,"JMA is currently seeking a Data Scientist Intern to join the Business Analytics Team in our San Francisco office. Our team is tasked with absorbing millions of rows of data from various of sources, organizing them, visualizing them, and analyzing them to help inform decision-making and investment strategies. You will be tasked with transforming complex and not always structured data sets into actionable insight for our acquisitions team. We want you to use that intuition you’ve developed (both in business and real life) to use the data we have on hand to find opportunities for growth and to develop insights that help the organization meet its investment goals, improve its performance, and positively impact the bottom line in the real estate market.Once you’re here, you’ll help engineer, analyze, and report on data to improve and streamline the due diligence process. Your work will provide digestible insights for acquisition leaders and JMA executives.What You Will DoBuild price prediction models for property value growthBuild cost prediction models for real estate developmentCollaborate with acquisitions and asset management teams to integrate your model outputsAs an early member, help set the culture, processes and tools of the data science teamWhat We Are Looking ForEducation and Prior ExperienceBS/BA required. Enrolled in a graduate program of study as a full-time studentExperience through thesis research, internships, or work experience in a science, technology, engineering or mathematics (STEM) related field, such as:Computational social scienceComputer scienceData analyticsEconomicsEngineeringGeospatial analysisMathematicsOperations researchPhysicsQuantitative financeStatisticsPrevious experience in quantitative fields including predictive modeling, statistics, financeSome experience in real estate is preferred, but not necessaryTechnical SkillsStrong quantitative, analytical, and problem-solving skillsStrong proficiency in Microsoft Excel, database management, VBA, AWS, SQLStrong proficiency in R or PythonFamiliar with GIS software and location-based data setsPersonal SkillsAbility to think and act independently to assess and prioritize new opportunities and present findings to acquisition and senior management teamsDemonstrated ability to lead and complete predictive modeling and data science related projectsSelf-starter and strong work ethic with willingness to work in a demanding, highly focused, and collaborative environmentPragmatic and gets things doneRequired EducationMaster’s educationRequired ExperienceMachine Learning, Statistics, Predictive Modeling: 1 yearWho We AreJMA is a full-service investment and development firm focusing on real estate and leisure-lifestyle assets. We work on every project scope from concept and entitlement through completion and operation. Our portfolio includes landmark properties that span hospitality, resort, destination, residential, retail, office and commercial developments. We believe their success is founded on our team’s keen understanding of the user experience and a deep knowledge of trends, tastes and desires that drive the creation of truly unique places. As a company and as members of the communities we build in, we have a firm commitment to sustainability and a responsibility to better the neighborhoods we work in – both environmentally and economically."
79,Internship,Full-time,"Worker Sub-TypeStudent (Fixed Term)Job DescriptionTHE POSITIONCylance is seeking Data Science interns who will work with machine learning at the heart of its products during the Summer of 2019. Prior experience in security is a plus, but not necessary; the right candidate will be able to gain domain expertise during the internship, surrounded by some of the computer security industry’s leading minds.At Cylance, we develop state-of-the-art machine learning techniques to solve long-standing problems in computer security. We discover novel ML techniques and applications, build systems to handle petabytes of ludicrously high dimensional data, and protect people from bad guys. We protect millions of computers from security threats, and as an intern here, you’ll do real, meaningful research. Previous interns have seen their work directly impact our products, have published papers based on their research at Cylance, or have been inventor on a patent application related to their work.The Data Science team is a critical, highly visible, and high-impact team within the company. The team brings together experts from machine learning, stats, computer science, computer security, and various applied sciences, with backgrounds including deep learning, Bayesian statistics, time-series modeling, topology, scalable data processing, and software engineering.What You Will DoApply, improve, and invent machine learning techniques to solve important problems in computer securityWrite maintainable, readable code for running experiments and proofs-of-conceptsWork with very large datasets, often with millions of dimensionsCollaborate closely with other data scientists and security expertsWho We Are Looking ForCurrent PhD and Master’s students studying machine learning, statistics, or related fields; PhD students are strongly preferredStrong math skills in general, especially linear algebra and statisticsExperience with PythonExcellent communication skills, clearly conveying ideas to others in speech and in writingKindness, and a deep willingness to help and collaborate with othersABOVE AND BEYONDIndustry experienceExperience working with the following:Python, and libraries like sklearn, numpy, scipy, pytorch, and tensorflow.Various other languages, including Scala, C/C++, C#, Java, and x86 assembly.GitSparkVarious AWS services, like EC2 and S3What We Need From You To ApplyCurrent resumeCover letter/summary expressing:Why you are interested in working at CylanceThe skills, strengths and expertise you will contribute to our diverse team of extraordinary talent and humble heartsJob Family Group NameBusiness Practices & OperationsScheduled Weekly Hours40"
80,Not Applicable,Full-time,"Job DescriptionNovelis manufacturing processes produce the operational run-time data for each coil across 15+ machine centers in various plant throughout the globe. To standardize Machine Learning models across various plants, we plan to build a Data Science platform with common set of libraries of routines. We also plan to build a common library of features used in our models allowing faster go-to-market of the new models.The Data Science Intern will help develop routines using Object Oriented Python classes and methods. Key Learnings  The Data Science Intern will learn the existing models developed by the Digital group and will help standardize those using Pipelines.  The Data Science Intern will learn/understand the manufacturing process and understand common data manipulation tasks.  The Data Science Intern will understand software development lifecycle and work in a professional environment.  The Data Science Intern may help develop a library containing all the features currently engineered. Qualifications Either have completed Masters in Software Engineering/Data Science or currently enrolled in a program  A proficient understanding of Python based Object Oriented Programming  Experience with software and model engineering concepts such as versioning, model deployment and model retraining etc.  Hands on experience with such Python libraries as Scikit-Learn, Unittest and Pytest, Flask and MLFlow  Understanding of git workflow and CI/CD.  Experience in Collaborative and Iterative Development  Desire for continuous development and learning opportunities  Strong analytical, organizational, presentation, and time management skills Minimum Experience LevelReport toScientist"
