,Level,Type_of_Job,Description
38,Entry level,Full-time,"Requirements 2 years of experience in quantitative analysis or data science Strong problem-solving skills, with experience breaking down a large problem into smaller, solvable components Strong skills in SAS SQL. Strong skills in data exploration, analysis, and visualization with Python or R. Strong understanding of methods in statistical analysis (e.g., supervised machine learning methods, hypothesis testing, etc.) Experience with BI and data visualization tools like R, Shiny. Ability to initiate and drive projects to completion Experience with Decision Support Models. Excellent written and verbal communication skills with the ability to communicate the results of your work in meaningful ways Strong collaboration skills with both technical and non-technical groups"
39,Associate,Full-time,"Job DescriptionWe are expanding its technology and quant team to build disruptive new products to further revolutionize trading and investing. Our products are used by the largest investment firms globally, and we are recognised as an industry-leading innovator in big data analytics, AI and machine learning.We are a dynamic, technology-driven, and highly productive team of quants, developers and product designers. Deep collaboration with our clients and partners is key, and we benefit from great relationships with the most ground-breaking firms in the asset management industry, who help us to constantly push the limits of technology and analytics.We have a track record of hiring amazing people and giving them (industry veterans and recent grads alike) autonomy and responsibility from the start. You'll have the best tools and resources available to get the job done, and thrive in a collaborative environment where our teams are passionate about building great things.The right candidates will have both a strong mathematical background, and be highly adept technologically.Responsibilities Analyse unique proprietary data sets. Create, evaluate, and enhance mathematical models and streaming analytics pipelines. Write production code. Partner globally with other data scientists, quants, developers, product designers, clients and industry leaders to tackle the important problems faced by the world's largest asset managers.  SKILLS Bachelor's degree in Computer Science, Mathematics or related technical focus. 2&plus; years of relevant experience OR recent Master's or PhD grad in Computer Science, Mathematics or related field. Proficiency in a mainstream programming language, such as Python, C/C&plus;&plus;, C#, Java, JavaScript, Haskell or similar. A strong foundation in a STEM/numeric discipline. Familiarity with software development practices such as version control (git), test frameworks, code review tools, deployment configuration management, continuous integration. Experience with machine learning libraries/frameworks and methods Excellent communication skills and team orientation"
40,Internship,Internship,"Job DescriptionIn this role, you will be working in an interdisciplinary environment and will obtain invaluable transferable skills. Moreover, you will have a chance to highly impact the company success. Being aware of various sources of biases in the data and critical thinking skills are essential for interpreting data. We also want to see a passion for machine-learning and research. At least 6 month commitment is preferred.Responsibilities Automate data collection processes Undertake preprocessing of structured and unstructured data Report potential biases in the original source and the preprocessing approach Present information using data visualization techniques Collaborate with machine learning, experimental discovery, and clinical development teams."
41,Entry level,Full-time,"Machine learning data science Work Location Reporting Address Sunnyvale, CA 94085 Client Name Apple Inc Vendor Rate 65.00 Contract duration 3 Months Must Have Skills Data Science Machine learning Python Detailed Job Description Data Scientist with Machine learning and Deep learning skills. Experience in Python and R language. Minimum years of experience 5+ Certifications Needed No Top 3 responsibilities you would expect the Subcon to shoulder and execute Data Analysis Machine learning tools dev Client interfacing"
42,Associate,Full-time,"Job DescriptionØptimus Consulting, a data science and software company, is seeking a data science fellow in the Washington, DC area. Fellows with the Data Science & Predictive Analytics team will participate in all aspects of work at Øptimus. In an environment where ""long-term"" projects last one or two weeks, no two days are the same. You'll work on multiple projects: writing call scripts that are used in hundreds of thousands of calls, streamlining our current workflow, sitting in on meetings to offer your valuable insight, and creating statistical models to meet the needs of our clients, just to name a few. We'll match what you're good at with what you enjoy and what we need.Fellowships are intended for recent college graduates or those with graduate degrees looking to transition into data science. The fellowship is a twelve-month full-time position with an opportunity for a permanent job offer upon completion.Qualifications Must have a college degree in a STEM or social science field, or equivalent real-world experience. At least one course in statistics is required. Having courses or experience in machine learning, data mining, regression, generalized linear models, experimental design, and/or GIS is especially desired. A Masters or Doctorate Degree is a plus but not necessary. Must be able to learn quickly and juggle multiple projects with moving deadlines. Must have strong analytical skills. Must have killer Excel skills and be incredibly competent in Word and PowerPoint. Must have experience in R or Python. Experience with Tableau is a plus. A passion or knowledge for politics is preferred but not necessary. Experience with political campaigns, commercial operations, or similar efforts can be very helpful. Experience with computer programming is a plus. CompensationFellows with Øptimus are salaried W2 employees and have benefits, including health insurance, dental and vision insurance, transportation reimbursement, and cell phone reimbursement.CompanyØptimus Consulting is a family of statisticians, graphic designers, data scientists, programmers, social media marketing analysts, and recovering politicos. Since its founding in 2013, 0ptimus has been at the forefront of developing innovative data and analytics software platforms. 0ptimus has designed and delivered data-driven strategies for leading political campaigns, Fortune 500 companies, and non-profits around the globe.We handle a wide variety of projects and use many different technologies and programs to meet our clients' needs, so our culture here is one of constant learning and curiosity, while doing things the right way. We boast a two-floor office near the yellow and blue Metro lines, no cubicles, a nacho cheese machine, and kegerator. If you live by the ""work hard, play hard"" philosophy, then you'll be a great fit with the Øptimus team.vumS6HpHpp"
43,Mid-Senior level,Full-time,"Why VacasaWe started with just one home and an idea: to bring homeowners and renters together with smart technology and caring local teams. Today, we’re the largest full-service vacation rental company in the US. Today, we’re one of the fastest-growing vacation rental companies in the world—thanks to the people who give us their best every day. You’ll fit right in here if you’re curious, entrepreneurial, and thrive in a rapid-growth environment.What We’re Looking ForWe are seeking a leader who is passionate about building a world class Data Science team in order to achieve Vacasa’s goal of providing a fantastic home base for any vacation. In addition to solving problems and removing roadblocks for your team, you’ll help define the vision, tools, and processes that help us take on challenges like: Determining the potential rental value of any vacation rental home, and how to increase that potential Pricing each of our unique units in real time given global market conditions to ensure we have homes available for potential guests while maximizing owner revenue Optimally scheduling home cleaning while giving our employees scheduling certainty Matching each guest’s expectations with a tailored experience  What You’ll Do Manage and guide the careers of our growing Data Science team Represent their work to the executive team and the rest of the organization Guide the team’s research, discovery, and implementation Stay curious about the field of Data Science, operate with empathy towards others, drive innovation, and remain accountable to yourself & team Keep your tech skills (Python, R, Stata, Big Data, etc.) sharp by contributing to our code Skills You’ll Need Experience managing folks working on data science projects Inquisitivity about statistics, systems engineering, algorithms, economics, operations research and related fields Advanced proficiency with Git/GitHub, Python, SQL, cloud computing, and machine learning Bonus Points Stellar listening and communication skills A Master’s or PhD with coursework focused on building data models You have intriguing stories to tell about your work applying the right statistical techniques to the right circumstances, have lead folks in applying those techniques for a multitude of situations, and the prospect of more work in this arena genuinely excites you What You’ll Get Health/dental/vision insurance—100% coverage option 401K retirement savings plan with up to a 6% company match Vacation time Paid sick leave and holidays Career advancement opportunities Employee discounts All the equipment you’ll need to be successful Great colleagues and culture"
44,Mid-Senior level,Full-time,"Shipt is a membership-based marketplace that helps people get the things they need. Our friendly shoppers handpick fresh groceries and household essentials and deliver them to members in as soon as one hour.What Does Data Science Do at Shipt?At Shipt, we work at the intersection of a multi-sided marketplace and we’re looking for help understanding data collected across this complex marketplace, optimizing existing processes, and making predictions to help improve the product and experience.Our team tackles a wide variety of projects, ranging from developing sophisticated predictive and machine learning models, conducting ad-hoc research, working with engineers on service development and deployments, and presenting results to functional teams. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator.Your Days Will Look Like… leading and developing a highly skilled team of data scientists and analysts … providing technical guidance and implementation details for the team as they work through projects big and small… collaborating with partners across product, engineering, and operations to accomplish business goals… leading and prioritizing exploratory work to uncover new opportunities… working with leaders to build data-informed strategies and roadmapsYou may be a fit for this role if you:… are a strong data scientist with 4+ years of experience… have 1+ years managing data scientists or 1+ years as a Tech Lead… have expertise solving complex and highly impactful quantitative problems with at least one scripting language (Python or R - we use both) and SQL… enjoy mentoring data scientists through their projects and careers… don’t mind getting hands on with challenging technical problems across a broad spectrum of data science problems, encompassing NLP, search, operations research, and semi-supervised learning problemsYou'll Get Bonus Points For... experience with batch and streaming data frameworks... work around on-demand or multi-sided marketplace problemsHere are some projects that the team is actively working on:Improving search rankings and relevancy through engagement metrics, inferred popularity, named entity recognition, and a number of other techniquesImproved order offering and the logistical component of deliveries through order batchingNLP on free text to pull out specific product information and product matchesWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
45,Entry level,Full-time,"Qualifications Minimum of MS, Phd Strongly Preffered, in Statistics, or related quantitive discipline Minimum 5 years of experience with phd and 8 Years of experience with MS in relevant areas of Data Science and proven capability in applying Accomplished academic background in health data applications hard evidence of extensive biomedical collaborations and publication record preferred Strong analytical and problem-solving Skills Strong technical Skills Experience in R, python, SQL, Spark, Cloud Services (Azure, AWS) Excellent writing, Communication and Presentation Skills, proficiency in data interpretation, delivering messages with impact to internal and external customers. Intellectual curiosity and agility Ability to work independently as well as collaboratively within a team setting"
46,Entry level,Full-time,"As Ribbon's Data Science Lead, you'll create best practices and grow the data culture. You'll work closely with the leaders across every department to create more teams which are run by data driven insights. You'll have the opportunity to grow and manage the DS function and team.Your Focus Becoming a subject matter expert in sales operations, structured finance and real estate operations. Understand the systems, understand the users, and drive towards identifying core opportunities for the business. Work directly with directors of finance, marketing and sales to create more data driven functions across the business. Prepare technical reports, reviews and analysis of current processes. Participate in backlog grooming, sprint planning, and retrospectives. Responsible for translating high-level business requirements into detailed functional specifications and managing the requests for changes. Establish data driven practices for understanding high level business metrics like CAC and LTV.Your Skills Strong organizational skills, including the ability to successfully manage multiple priorities and projects and consistently meet deadlines in a fast-paced environment. Experience with cloud platforms, ideally AWS. Familiarity with SQL and noSQL datastores like Redshift, Postgres, Elasticsearch and MongoDB. Experience with SQL or other data visualization tools (like R or Python). You have a track record building or scaling data driven organizations."
47,Not Applicable,Full-time,"Minimum Qualifications Bachelor's degree in a quantitative discipline or equivalent practical experience. 4 years of relevant work experience involving quantitative data analysis Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL). Preferred Qualifications Master's degree or higher in a quantitative discipline (e.g., Statistics, Computer Science, Math, Engineering) or equivalent practical experience Strong knowledge and hands-on experience with both supervised and unsupervised learning (e.g. time series forecasting, clustering, classificaiton) and/or Big Data techniques (Spark, Pig, Hive) is a big plus. Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Effective communication (written and verbal) to translate technical solutions and methodologies to senior leadership About The JobAt Google, data drives all of our decision making. The Finance Business Intelligence and Analytics team combines business acumen, technology and innovation to organize data, enable insights and create a data driven and efficient Finance organization. You will have a unique opportunity to gain perspectives on Google’s core businesses, services and the ecosystems that they operate within.As a Data Science Specialist, you will work on strategic business challenges across multiple business areas (ex. Ads, YouTube, Search, Play, etc.) through the lens of monetization. You will collaborate with data engineers, analysts and PMs to create an end-to-end data solutions to enable our finance partners to make informed decisions, manage risks and opportunities. You will demonstrate statistical and machine learning experience and an understanding of our business models to tackle complex data problems.The name Google came from ""googol,"" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.Responsibilities Partner with Finance leadership and their teams to understand business context and identify science solutions. Apply statistical and machine learning methods to solve large scale problems, including the full modeling lifecycle (e.g. data manipulation, building and evaluating models, interpreting results, transitioning solutions to production, performance monitoring, recalibrating models, etc.) Create data visualization to summarize the modeling insights and communicate them to internal team members and business stakeholders Continue to widen and deepen data science and engineering skill sets Coach junior members and share knowledge with the broader team At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
48,Mid-Senior level,Full-time,"H-E-B’s Corporate Planning and Analysis Team develops and maintains budgets and financial systems while providing current, reliable financial data, analysis, and technical information. As Data Science Manager, you will lead the Data Science Team, and participate in all related projects.Once you’re eligible, you’ll become an Owner in the company, so we’re looking for commitment, hard work, and focus on quality and Customer service. “Partner-owned” means our most important resources—People—drive the innovation, growth, and success that makes H-E-B The Greatest Retailing Company.Do You Have aHEART FOR PEOPLE… willingness to mentor and develop others?HEAD FOR BUSINESS… skills to blend mass data-wrangling with business acumen?PASSION FOR RESULTS… ability to generate business-valued questions and data-driven solutions?We Are Looking For 10 years of experience in a retail-related data / decision science role deep knowledge of data science techniquesWhat is the work?Management / Mentoring Manages the Data Science team Participates in all Data Science projects, providing leadership and employing predictive analytics, machine learning, data modeling, etc. Leads and oversees the exploration, development, and delivery of data science solutions to meet business needs Mentors and develops team membersWhat is your background? Graduate degree in statistics, mathematics, engineering, computer science, or a related quantitative field 10+ years of professional experience in a data / decision science role, preferably in retail or other consumer-facing industries Experience / proficiency in statistical programming languages, such as R, SAS, SPSS, etc. Experience / proficiency in one or more of the following scripting languages: Python, Perl, Java, or Ruby Experience / proficiency in relational databases, such as Teradata or Oracle (Teradata preferred), and SQLDo you have what it takes to be a Data Scientist Manager at H-E-B? Deep knowledge of typical data science techniques, such as classification, regression, and optimization Familiarity with machine learning packages like KNIME or RapidMiner Familiarity with Hadoop, distributed file systems, Big Data ecosystems, and BI tools, such as MicroStrategy Advanced presentation, influencing, and solution-selling skills Strong project leadership, time management, and organization skills Personal leadership skills Ability to work comfortably with imperfect / incomplete data and create solutions / best practices to address data issuesAbility to work comfortably in a fast-paced retail environment with frequently shifting priorities Ability to independently build scalable solutions to answer Ability to communicate analytical findings to a variety of audiences, including senior management, and refine such findings into actionable recommendations Initiative; willingness to take risksCan you… Function in a fast-paced, retail, office environment Travel by car or airplane with overnight stays Sit for an extended period of time Work extended hoursDATANL3232 DATASCI3232About H-E-BH-E-B is one of the largest, independently owned food retailers in the nation operating over 400 stores throughout Texas and Mexico, with annual sales generating over $25 billion.Primary LocationUS-TX-San AntonioWork LocationsHeadquarters-ArsenalJobData ScienceOrganizationCorporate RegionShiftStandardJob TypeFull-timeJob PostingAug 15, 2019, 9:52:12 AM"
49,Internship,Internship,"Job DescriptionØptimus Consulting, a data science and software company, is seeking a data science intern in their Washington D.C. area office for the summer term. Interns with the Data Science & Predictive Analytics team will participate in all aspects of work at Øptimus. In an environment where a ""long-term"" project lasts one or two weeks, no two days are the same. You won't be getting coffee. You'll sit in on meetings and work on multiple projects: writing call scripts that are used in hundreds of thousands of calls, streamlining our current workflow, and creating statistical models to meet the needs of our clients, just to name a few. You'll be doing the work that a full-time employee does. We'll match what you're good at with what you enjoy and what we need.Our internships are mostly geared towards those still in school, whether undergraduate or graduate. This job posting is for the fall 2019 period, with flexible starting dates between August or September. We don't guarantee full-time employment after an internship, but we're a growing firm and are always looking for bright, hard-working talent. If you're looking for a full-time job, this is a good first step and puts you ahead of the competition!Qualifications Must be able to learn quickly and juggle multiple projects with moving deadlines. Must have strong analytical skills. Must have at least one course in statistics or equivalent real-world experience. Having courses or experience in machine learning, data mining, regression, generalized linear models, experimental design, and/or GIS is especially desired! Must have killer Excel skills and be incredibly competent in Word, PowerPoint, etc. Must have experience in R or Python - both is a plus! A passion for politics is preferred but not necessary. Experience with computer programming is a plus. Experience with statistical modeling is a plus.CompensationInternships with Øptimus are paid commensurate with professional and academic experience.CompanyØptimus Consulting is a family of statisticians, graphic designers, data scientists, programmers, social media marketing analysts, and recovering politicos. Since its founding in 2013, 0ptimus has been at the forefront of developing innovative data and analytics software platforms. 0ptimus has designed and delivered data-driven strategies for leading political campaigns, Fortune 500 companies, and non-profits around the globe.We handle a wide variety of projects and use many different technologies and programs to meet our clients' needs, so our culture here is one of constant learning and curiosity, while doing things the right way. We boast a two-floor office near the yellow and blue Metro lines, no cubicles, a nacho cheese machine, and kegerator. If you live by the ""work hard, play hard"" philosophy, then you'll be a great fit with the Øptimus team.SDL2019-256"
50,Mid-Senior level,Full-time,"OverviewIntuit is seeking a Data Science Leader to join the Intuit AI Engineering Group in Mountain View, CA.Responsibilities Lead and create a team of data scientists  Mentor and hire the best data scientists in the valley  Applies artificial intelligence and machine learning techniques to solve complex questions or fuel new business opportunities  Delivers breakthrough benefits to Intuit users/customers across small business & consumer products using individual, enriched, and aggregated data  Provides leadership in advanced engineering, data science and analytics in the development of current or future products or technologies  Provides technical leadership across multiple teams, by understanding a key technology space deeply enough to help guide strategy  Provide/inspire data science innovations that fuel the growth of Intuit as a whole  Understands and teaches proven methods and hacking skills in working with divergent data types at scale, to explore and extrapolate data-driven insights using advanced, predictive statistical modelling and testing applied to data acquired and cleansed from a range of sources  Provides to business stakeholders the entrepreneurial guidance essential for appropriately interpreting and building on findings, and fully exploiting the insights revealed through the research You thrive on ambiguity and enjoy the frequent pivoting that's part of the exploration. You are extremely passionate about applying practically Machine Learning to real customer problems, powering the next generation experiences for large scale applications.Qualifications BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Econometrics, Operations Research, Physics, etc.)  3 plus years' experience as an established technical leader of data science teams that have successfully delivered data-driven software products.  Innovative and disruptive technology leader solving long term strategic outcomes.  Expert command of AI and machine learning, statistical modelling, state-of-the-art tools, and engineering best practices  Experience in leading teams who have expertise in data mining algorithms and statistical modelling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, genetic algorithms, anomaly detection, recommender systems, and natural language processing.  Impeccable attention to detail and strong ability to convert complex data into insights and action plans  Strategic thinker, flexible problem solver, great listener and team orientation  Able to effectively communicate a vision and inspire others to innovate PandoLogic. Keywords: Data Science Manager, Location: Mountain View, CA - 94035"
51,Mid-Senior level,Full-time,"Lead Data Engineer     Data Engineer required for a Tech Innovation Start Up based in Manhattan working in an $80 Billion market. This company leverages human biometrics and innovative technology to personalize a product that enhances humans day to day life! Their overall goal is increase people’s energy and happiness levels with this innovative technology. It has been named one of the most innovative firms over the last 2 years.   As a Data Engineer, you will be required to work with massive volumes of data to build their ML driven data pipeline. The Data Engineer will need multiple programming languages whilst working on the full stack to add value to the ecosystem of data. To maximise the performance of the product, the data engineer must also be able to apply machine learning techniques and algorithms to the applications.   Key responsibilities: Optimizing platforms for Data Science research by using software engineering best practices. Implementation of ML algorithms by writing data applications. The use of multiple programming languages on a daily bases across a full stack. Interface with data scientists, engineers, product managers, and business development teams to understand data needs. Building a data pipeline that incorporates stats and statistical algorithms.   Summary of skills: 2+ years of professional coding experience with C# or Java You have experience dealing with data at scale, processing and transforming hundreds of millions of data points per day. You have first-rate SQL skills, but you are aware of its limits. You know when to use it, and when it’s better to find a different solution. You are familiar with ETL tools and problems. We use Airflow, Redshift, Glue, and many other systems. You have the ability to work in a backend environment with a formal education in Computer Science or similar subject. Although it’s not essential we would favor a M.Sc. (Masters). An understanding of machine learning algorithms to be able to work closely with Data Scientist in building ML Models. A knowledge of AWS or Docker or Kubernetes is preferred (Would also consider GCP)   The manager is looking to interview a suitable Data Engineer as soon as Friday 16th, August. The positon should begin at the start of September."
52,Mid-Senior level,Full-time,"Our client is building the future of medical decision-making. Instead of trusting one person based on their credentials, they get opinions from many people and trust them based on skills. On their mobile app users compete to analyze medical cases most accurately as they help to build the next generation of medical AI. They're backed by Y Combinator, Accel, Global Founders Capital, the LEO Innovation Lab, and MIT.  About the role: They are a small, fast-moving engineering team. As our first engineer devoted exclusively to the backend, your work will shape our product and software systems for years to come. You'll help us implement industry best practices and develop a strong engineering team culture. The ideal candidate has both depth and breadth, is comfortable working up and down the stack, and knows how to balance quality with speed. Note: They're a full-stack Swift company, one of the earliest adopters of server-side Swift in production (Vapor framework). They love Swift's speed of development, safety, and modern design.  Day-to-day responsibilities include: Developing clean APIs for our mobile app and customers Continuous improvement of our data models and data storage Proactively monitoring and optimizing infrastructure performance, logging, and error handling Gathering data for our data science team and building tools to help them translate our data into insights Wearing many hats and getting your hands dirty  Skills: 3+ years developing with a modern web language (e.g. Swift, Node, Golang, Python) Familiarity with cloud infrastructure (e.g. Heroku, AWS, Kubernetes) Working knowledge of SQL databases (we use PostgreSQL)"
53,Mid-Senior level,Full-time,"Senior Deep Learning Scientist   Location: New York, NY    A high growth startup is looking to hire elite Deep Learning Scientists.  If you have a passion for developing next generation algorithms and a desire to help change the way we live and work then look no further.   We are designing and training various deep learning models to help people for precision medicine and therapeutics.   Solve incredibly challenging problems with extremely passionate and experienced data scientists.  We are looking to hire experienced teammates who are equally passionate about problem solving.   Skills:  Ph.D or MS in Computer Science, Physics, Electrical Engineering, Computer Vision, Statistics or Math  Strong machine learning or NLP, BERT Experience working with deep learning frameworks like TensorFlow, Caffe2, Theano, CNTK and PyTorch Strong understanding of deep learning theory: CNN, RNN, LSTM and ANN Solid programming Python  Graphics GPU computing CUDA, OpenCL   Level: Senior or Lead (we are unable to sponsor at this time)  Full health benefits  Unlimited vacation Unlimited sick days Commuter benefits and more...     Please reach out for more information key words: image processing, machine processing, deep learning, neural networks, python"
54,Not Applicable,Full-time,"We are looking for a Data Scientist with experience applying Data Science processes and tools to solve real-world problems for our customers in the Federal, Defense, and Intelligence sectors. ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging Publicly Available Information (PAI) as well as Federal, Defense, and Intelligence data.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.QualificationsStrong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.Minimum RequirementsUS CitizenshipMust qualify for a security clearance from the U.S. Department of Defense. Take the quiz available here: https://bit.ly/2NMh1Pj.B.S. in a field of Science, Technology, Engineering, or MathematicsPreferencesActive clearance with the Department of DefenseM.S. or Ph.D. in a field of Science, Technology, Engineering, or Mathematics10+ years of work experienceExperience with DoD/IC Information SystemsExperience with Big Data software projects (e.g. Hadoop, Spark, Kafka, Elasticsearch)Raptics, Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
55,Not Applicable,Contract,"•	Big data full stack engineers  – who are conversant with Apache Spark, Scala, Kafka & HBase.•	Emphasis on search capability / search optimization •	Experience working in an Agile environment o	3rd party – Streamset & Naveda o	SQL Server •	Web Services – Spring Boot •	DevOps – Chef 11/12, Dockers•	Data gather & pusher – Caska •	Working w/Data Science Group – Modeling & Scoring "
56,Mid-Senior level,Full-time,"We are seeking healthcare analytics lead to support all analytics needs with respect to a growing portfolio of health plan customers and physicianMSO partners. The analyst will take the lead on complex analyses that will lead to critical business decisions at the onset of a new client relationship, as well as on an ongoing basis to help address ongoing medical management operational needs. While this is a highly collaborative role on a growing team, this is a highly analytical, self-directed role requiring healthcare/medical economics experience, both critical and strategic thinking skills, attention to detail, and an ability to manage multiple projects in a fast-paced environment.Job DescriptionEssential FunctionsResearch, analyze present results and recommend intelligent solutions to solve problems and address business challenges by applying knowledge of medical claims analysis, critical-thinking skills, and healthcare experience/expertise. This may range from developing proposals to new and existing clients to clinical quality and utilization management projects, to new initiatives that you may come up with yourself.• Structure analytical results in an organized, visual manner to tell a meaningful, actionable story.• Write SQL queries, create end-user reports, and apply varying analytical techniques to solve specific business problems.• Determining credibility and usability of claims data prior to delivery of analytic results.• Interpret contractual language and have a clear understanding of business rules and reporting requirements• Establish trusting professional relationships with internal senior business customers.• Maintain alignment of expectations and priorities in an autonomous fashion.QualificationsThe Healthcare Analytics team functions as a compilation of three main components: (1) the liaison between the data warehouse teams and all internal and external clients that are supported by Healthcare Analytics including: finance, operations, clinical, and external clients by overseeing that contractual business rules are correctly applied to raw data and that end-user reporting is accurate (2) traditional medical economics support: combining deep knowledge of medical claims and other data with understanding of healthcare payment systems to drive actionable insights and collaboration with actuarial (3) advanced analytics: statistical modeling, development of risk adjustment metrics, ad-hoc studies with Data Science.• An undergraduate degree is required, master’s preferred in math, statistics, computer science, or another related quantitative field• Minimum of 4 years of experience or proven ability working as an analyst in the health care industry with medical claims, membership, and provider data.Proven experience working with some combination of Medicare, Medicaid, and Commercial paid claims data sets. Other applicable data sets include Census and Member Eligibility data sets.• Reasonable experience with Structured Query Language (SQL) required.• Advanced analytic skills with the ability to build statistical and predictive models to help support business decisions• Ability to analyze and interpret medical claims data through complex analysis that leads to strategic business decisions• Experience in data mining, statistical analysis, and data transformation/manipulation.• Experience working with large data repositories and/or relational databases.• Expertise in MS Excel, with proficiency using formulas, PivotTables, linked worksheets, graphing and other reporting and presentation features.• Ability to tell a succinct, meaningful, and actionable story with data using visualization and other techniques.• Ability to work on multiple projects simultaneously with minimal supervision.• Ability to quickly adapt to changes in both technology and business environments.• Ability to analyze data and apply investigative skills in resolving issues.• Ability to produce clear, written presentations and supporting documentation.• Highly self-motivated and directed with keen attention to detail."
57,Entry level,Full-time,"In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019.About BAMM:Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences.Your Role:BAMM has an opportunity for a qualitative researcher to join our growing New York City office. We’re looking for an ambitious qualitative research specialist, with 2-3 years’ experience, who’s eager to work on big, strategic insights projects for the world’s leading brands. Ideally, we’re looking for candidates who have ethnographic or anthropological experience.This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists. We’re looking for candidates who have the energy and desire to innovate in the qualitative research space, who want to find new, smarter ways to solve client challenges, and who are interested in combining ethnographic techniques with leading edge data science and behavioral science. We will provide the space, support and culture to help ensure success.Your Responsibilities: Help lead the design and execution of the ethnographic & qualitative portions of client projects Help build out and lead our qualitative research innovation agendaHelp build new ethnographic and qualitative products & techniquesHelp create PowerPoint storylines for client projects that drive consumer, cultural and brand understanding Attend client meetings, and help respond to client questions and requests when needed Attend and contribute to all internal team meetings and brainstormsKeep abreast of the newest resources, approaches and techniques in data, statistics and analyticsQualified candidates will have:Undergraduate degree (ideally in anthropology, psychology or sociology)Strong academic background2-3 years of relevant work experienceDemonstrable qualitative/ethnographic research skillsIn-depth knowledge of observational, projective, and consumer interview techniquesAbility to pull out compelling insights from the researchHigh attention to detail without sacrificing the big pictureAbility to work across multiple projects while meeting deadlinesStrong interpersonal and communication skills, and a collaborative, constructive approachNatural interest in consumers, how they live their lives, how the culture around them is changingWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
58,Executive,Full-time,"SVP Data Science & AnalyticsHouston, TX  The SVP of Data Science & Analytics will report to the CIO and be responsible for building and managing a team of data engineers and data scientists to develop, implement, and maintain the organisations data analytics program. The successful candidate will ensure our organisations capability to model, predict, and improve decision making and operational performance across all levels.   Key requirements: • Developing and managinh the entire organizaitions data analytics strategy including articulating to all members in c-suite a strong vision for the creative use of data and analytics to transform the industry   • Develops and maintainng relationships across the organization to align data strategy and identify opportunities for using best in class models and algorithms to enhance efficiency and improve current business practices    • Implements the use of regression and machine learning techniques to predict operational issues and opportunities   • Integrates and mines large data sets, connecting data from various sources to define insights and patterns using predictive and prescriptive analytics.  Essential experience and job requirements:  • Experience with regression analysis, including GLMs, Bayesian methods, and classification techniques.   • Experience with numerical optimization including LP, NLP, iterative and/or stochastic methods    • Demonstrated proven track record of successfully leading multi-discipline teams .    • Demonstrated ability to build productive relationships with employees at all levels of the organization."
